TopLayer T
'IPC-SM-782/SOD128' SOD-128
'MCS_WORK/MURATA/LQH32CN' LQH32CN
'MCS_WORK/JL_WORLD/HPS13C' AST1341MCQ
'MCS_WORK/TI/LM3671COMBO' SOT23-5
'MCS_WORK/LATTICE/QFN48-ICE40' QFN-48
'IPC-7351/TSSOP50P490-10AL' MSOP-10
'MCS_WORK/WQFN28' WQFN-28
'MCS_WORK/ABRACON/HC49US' HC-49US
'MCS_WORK/AMP/1612163' delete
'MCS_WORK/KEL/8830E-040-170L' delete
'MCS_WORKS/SON6' SON-6
'MCS_WORK/BB/PS-3' delete
'MCS_WORK/BB/PS-5' delete
'MCS_WORK/AMP/1888247_REV1' delete
'MCS_WORK/AMP/101-00303-68' 101-00303-68
'MCS_WORK/AMP/1612163-1' delete
'MCS_WORK/MOLEX/731000105' delete
'MCS_WORK/COILCRAFT/XFL4020' XFL4020
'MCS_WORK/STEWARD/CM2545' delete
'MCS_SM/4SMD3225' 4SMD3225
'IPC-SM-782/QFN56-050' QFN-56
'MCS_WORK/MOLEX/528850374' 529010374
'MCS_WORK/CTS/741C083SF' 741C083SF
'MCS_BGA/BGA20-080-400' CSBGA-400
'MCS_WORK/QFN32_5õ5' QFN-32
'IPC-SM-782/SSOP28-065/TI' SSOP-28
'IPC-SM-782/QFN24-050' WQFN-24
'MCS_BGA/BGA9X16-080-96' FBGA-96
'IPC-SM-782/LGA33' LGA-33
'IPC-SM-782/VQFN16-050/TI' VQFN-16
'IPC-SM-782/US8-050' US-8
'MCS_WORK/RECOM/RP-S' delete
'IPC-SM-782/SMC' SMC
'MCS_WORK/TC/TC2050-2' delete
'MCS_WORK/BB/DRB-9MA' delete
'MCS_WORK/KINGSTATE/KSS-75' KSS-75
'MCS_WORK/SAMTEC/FTSH-105-04-L-DV' delete
'MCS_WORK/KINGBRIGHT/DLA(C)/6___' delete
'MCS_WORK/KINGBRIGHT/KPDA56-1XX' KPDA56-102
'IPC-SM-782/SSOP16-063' SSOP-16
'MCS_WORK/ECS/ECX306' ECX-306X
'MCS_WORK/CITIZEN/CS20' CS-20
'MCS_WORK/SAMTEC/MMS-125-01-DV' delete
'MCS_WORK/AMP/745131' delete
'MCS_WORK/SAMTEC/MMS-105-01-DV' delete
'MCS_WORK/SAMTEC/CLP-110-D' delete
'MCS_WORK/SAMTEC/CLP-110-D' CLP-109-02-G-D
'MCS_WORK/MUR/PKM13EPYH4000' delete
'MCS_WORK/NDK/NZ2520S' NZ2520S
'MCS_WORK/TI/C5535' BGA_MICROSTAR-144
'MCS_WORK/ABRACON/ASDMB' ASDMB-4SMD
'MCS_WORK/LATTICE/QFN32-ICE40' QFN-32
'IPC-SM-782/L0805' INDC0805
